American Avocet Recurvirostra americana
American Barn Owl Tyto furcata
American Bittern Botaurus lentiginosus
American Black Duck Anas rubripes
American Coot Fulica americana
American Crow Corvus brachyrhynchos
American Golden-Plover Pluvialis dominica
American Goldfinch Spinus tristis
American Herring Gull Larus smithsonianus
American Kestrel Falco sparverius
American Oystercatcher Haematopus palliatus
American Pipit Anthus rubescens
American Robin Turdus migratorius
American White Pelican Pelecanus erythrorhynchos
American Wigeon Mareca americana
American Woodcock Scolopax minor
Anhinga Anhinga anhinga
Ash-throated Flycatcher Myiarchus cinerascens
Bachman's Sparrow Peucaea aestivalis
Bald Eagle Haliaeetus leucocephalus
Baltimore Oriole Icterus galbula
Barn Swallow Hirundo rustica
Barred Owl Strix varia
Belted Kingfisher Megaceryle alcyon
Black Scoter Melanitta americana
Black Skimmer Rynchops niger
Black Vulture Coragyps atratus
Black-and-white Warbler Mniotilta varia
Black-bellied Plover Pluvialis squatarola
Black-bellied Whistling-Duck Dendrocygna autumnalis
Black-chinned Hummingbird Archilochus alexandri
Black-crowned Night Heron Nycticorax nycticorax
Black-necked Stilt Himantopus mexicanus
Black-throated Green Warbler Setophaga virens
Blue Jay Cyanocitta cristata
Blue-gray Gnatcatcher Polioptila caerulea
Blue-headed Vireo Vireo solitarius
Blue-winged Teal Spatula discors
Boat-tailed Grackle Quiscalus major
Bonaparte's Gull Chroicocephalus philadelphia
Brewer's Blackbird Euphagus cyanocephalus
Broad-winged Hawk Buteo platypterus
Bronzed Cowbird Molothrus aeneus
Brown Creeper Certhia americana
Brown Pelican Pelecanus occidentalis
Brown Thrasher Toxostoma rufum
Brown-headed Cowbird Molothrus ater
Brown-headed Nuthatch Sitta pusilla
Bufflehead Bucephala albeola
Bullock's Oriole Icterus bullockii
Cackling Goose Branta hutchinsii
Canada Goose Branta canadensis
Canvasback Aythya valisineria
Carolina Chickadee Poecile carolinensis
Carolina Wren Thryothorus ludovicianus
Caspian Tern Hydroprogne caspia
Cedar Waxwing Bombycilla cedrorum
Chipping Sparrow Spizella passerina
Chuck-will's-widow Antrostomus carolinensis
Cinnamon Teal Spatula cyanoptera
Clapper Rail Rallus crepitans
Clay-colored Sparrow Spizella pallida
Cliff Swallow Petrochelidon pyrrhonota
Common Gallinule Gallinula galeata
Common Goldeneye Bucephala clangula
Common Grackle Quiscalus quiscula
Common Ground Dove Columbina passerina
Common Loon Gavia immer
Common Merganser Mergus merganser
Common Yellowthroat Geothlypis trichas
Cooper's Hawk Astur cooperii
Dark-eyed Junco Junco hyemalis
Double-crested Cormorant Nannopterum auritum
Downy Woodpecker Dryobates pubescens
Dunlin Calidris alpina
Eastern Bluebird Sialia sialis
Eastern Kingbird Tyrannus tyrannus
Eastern Meadowlark Sturnella magna
Eastern Phoebe Sayornis phoebe
Eastern Screech-Owl Megascops asio
Eastern Towhee Pipilo erythrophthalmus
Eastern Whip-poor-will Antrostomus vociferus
Eurasian Collared-Dove Streptopelia decaocto
European Starling Sturnus vulgaris
Field Sparrow Spizella pusilla
Fish Crow Corvus ossifragus
Forster's Tern Sterna forsteri
Fox Sparrow Passerella iliaca
Gadwall Mareca strepera
Glossy Ibis Plegadis falcinellus
Golden-crowned Kinglet Regulus satrapa
Grasshopper Sparrow Ammodramus savannarum
Gray Catbird Dumetella carolinensis
Great Black-backed Gull Larus marinus
Great Blue Heron Ardea herodias
Great Crested Flycatcher Myiarchus crinitus
Great Egret Ardea alba
Great Horned Owl Bubo virginianus
Greater Scaup Aythya marila
Greater White-fronted Goose Anser albifrons
Greater Yellowlegs Tringa melanoleuca
Green Heron Butorides virescens
Green-winged Teal Anas crecca
Hairy Woodpecker Leuconotopicus villosus
Henslow's Sparrow Centronyx henslowii
Hermit Thrush Catharus guttatus
Hooded Merganser Lophodytes cucullatus
Hooded Warbler Setophaga citrina
Horned Grebe Podiceps auritus
Horned Lark Eremophila alpestris
House Finch Haemorhous mexicanus
House Sparrow Passer domesticus
Hudsonian Whimbrel Numenius hudsonicus
Iceland Gull Larus glaucoides
Inca Dove Columbina inca
Indigo Bunting Passerina cyanea
Killdeer Charadrius vociferus
King Rail Rallus elegans
Lapland Longspur Calcarius lapponicus
Laughing Gull Leucophaeus atricilla
Least Sandpiper Calidris minutilla
LeConte's Sparrow Ammospiza leconteii
Lesser Black-backed Gull Larus fuscus
Lesser Scaup Aythya affinis
Lesser Yellowlegs Tringa flavipes
Limpkin Aramus guarauna
Lincoln's Sparrow Melospiza lincolnii
Little Blue Heron Egretta caerulea
Loggerhead Shrike Lanius ludovicianus
Long-billed Dowitcher Limnodromus scolopaceus
Long-tailed Duck Clangula hyemalis
Louisiana Waterthrush Parkesia motacilla
Magnificent Frigatebird Fregata magnificens
Mallard Anas platyrhynchos
Marbled Godwit Limosa fedoa
Marsh Wren Cistothorus palustris
Merlin Falco columbarius
Mottled Duck Anas fulvigula
Mourning Dove Zenaida macroura
Nashville Warbler Leiothlypis ruficapilla
Nelson's Sparrow Ammospiza nelsoni
Neotropic Cormorant Nannopterum brasilianum
Northern Bobwhite Colinus virginianus
Northern Cardinal Cardinalis cardinalis
Northern Flicker Colaptes auratus
Northern Gannet Morus bassanus
Northern Harrier Circus hudsonius
Northern House Wren Troglodytes aedon
Northern Mockingbird Mimus polyglottos
Northern Parula Setophaga americana
Northern Pintail Anas acuta
Northern Rough-winged Swallow Stelgidopteryx serripennis
Northern Shoveler Spatula clypeata
Northern Waterthrush Parkesia noveboracensis
Northern Yellow Warbler Setophaga aestiva
Orange-crowned Warbler Leiothlypis celata
Orchard Oriole Icterus spurius
Osprey Pandion haliaetus
Ovenbird Seiurus aurocapilla
Pacific Loon Gavia pacifica
Painted Bunting Passerina ciris
Palm Warbler Setophaga palmarum
Pectoral Sandpiper Calidris melanotos
Peregrine Falcon Falco peregrinus
Pied-billed Grebe Podilymbus podiceps
Pileated Woodpecker Dryocopus pileatus
Pine Siskin Spinus pinus
Pine Warbler Setophaga pinus
